ioLogik 2542-HSPA-T,1
 SSH-2.0-OpenSSH_6.6.1p1 Ubuntu-2ubuntu2.6 Key,1
 HTTP/1.0 501 FUNCTION,2
 Copyright: Original Siemens,1
 HTTP/1.1 401 Unauthorized,132
 HTTP/1.1 302 Found,2039
 Product name: 1769-L27ERM-QxC1B/A,34
 Anonymous login successful,1
"Siemens, SIMATIC, S7-200",67
 HTTP/1.1 400 Bad,3
 Product name: 1763-L16DWD,142
 Product name: 1756-EN3TR/A,1
 HTTP/1.1 302 Moved,559
 220 Welcome to,34
 HTTP/1.1 302 Object,5
" Siemens, SIMATIC NET,",156
 HTTP/1.0 302 Redirection,31
 Product name: BGT,107
 Instance ID: 367484,1
 Product name: 1769-L30ERM/A,3
 220 wago-mailserver 250-mail.wago-auktionen.de,3
 Product name: 1756-L61/B,1
 HTTP/1.1 403 Access,1
 Product name: 2080-LC50-24QWB,11
 Product name: 1766-L32AWA,175
"Siemen, SIMATIC, S7-200",1
 220 374.mailgw.de ESMTP,2
 Product name: 1756-EN2T/D,49
ServerName;HEERENCHI;InstanceName;CIMPLICITY;IsClustered;No;Version;10.0.6000.29;tcp;60124;np;\\HEERENCHI\pipe\MSSQL$CIMPLICITY\sql\query;;ServerName;HEERENCHI;InstanceName;STD2012;IsClustered;No;Version;11.0.3000.0;tcp;62972;np;\\HEERENCHI\pipe\MSSQL$STD2012\sql\query;;,1
WAGO Dyspozytornia,1
 Allen-Bradley 1747-L553 SLC-5/05,1
 Product name: 2711-K6C20:Mobile_South,1
 ******************************************************************** PowerLink PL200,2
 <!DOCTYPE html> <html,1
 HTTP/1.1 302 Déplacement,2
 DisplayName NodeId BrowseName,2
 Agente SNMP Powerlink,9
 Instance ID: 1,1
 SIMATIC NET -,1
 HTTP/1.1 200 OK,11211
 HTTP/1.0 200 OK,811
 Product name: 1756-EWEB,1
" Product name: 1408-EM3A-ENT,",21
" Siemens, SIMATIC S7,",277
 Allen-Bradley 1785-ENET Ethernet,2
 Product name: 1756-EN2TR/A,1
 HTTP/1.1 200 Document,122
 ******************************************************************** PowerLink PL250EHQ,1
 Product name: 1769-L36ERMS/A,2
 Product name: 1769-L18ER/A,47
 ******************************************************************** PowerLink PL100,12
 WAGO 750-841 PFC,12
 PowerLink 10.6.5.2 Ecessa,6
 HTTP/1.0 302 Moved,8
 Product name: 1766-L32AWAA,104
 Product name: 2080-LC50-24QBB,24
 HTTP/1.1 401 Access,1070
 ******************************************************************** PowerLink Pro200,1
Powerlink 824,12
 HTTP/1.1 302 Tijdelijk,16
 HTTP/1.0 401 Unauthorized,56
 PowerLink 10.5.3.2 Ecessa,3
 Product name: 1769-L18ER/B,57
 Product name: Powermonitor,4
 Product name: 2080-LC20-20QBB,2
 Product name: 1769-L23E-QBFC1,23
 Product name: 1768-EWEB/A,2
 Product name: 1756-EN2TR/B,6
 Allen-Bradley 1747-L551/C SLC-5/05,14
A850 Telemetry Gateway,30
 Product name: 1788-ENBT/A,4
 Unit ID: 1,100
 220-Proceeding further constitutes,3
 Product name: 1768-ENBT/A,42
 Product name: PLC-5/40E,1
 Firmware: 1 Hostname:,5
 Product name: 2080-LC20-20AWB,2
"
WAGO-IO-IPC login: ",5
 RTSP/1.0 401 Unauthorized,1
 Product name: 1769-L30ER-NSE/A,2
 ******************************************************************** PowerLink PL60,6
 Product name: 1756-EN2T/C,26
 Reserved for operating,8
 HTTP/1.0 343 =pXD&Server:,1
 <!DOCTYPE html PUBLIC,1
 HTTP/1.1 401 Machtiging,4
 Product name: 1769-L18ERM/B,1
 TELEMECANIQUE BMX P34,49
 Product name: PanelView_Plus-CE,3
 +OK wago-mailserver +OK,1
 HTTP/1.0 401 Access,2
 Product name: 1769-L30ER/A,134
 Product name: 1763-L16BWA,213
 Allen-Bradley 1747-L542E SLC-5/05,1
 Product name: 1769-L33ER/A,138
i.LON Smart Server,21
 HTTP/1.1 401 Accès,1
 PowerLink 10.6.3.1 Ecessa,3
 Product name: 1763-L16BBB,149
 HTTP/1.0 401 Authorization,10
4ServerName;TEST-SYSTEM;InstanceName;MSSQLSERVER;IsClustered;No;Version;10.0.2531.0;tcp;1433;np;\\TEST-SYSTEM\pipe\sql\query;;ServerName;TEST-SYSTEM;InstanceName;CIMPLICITY;IsClustered;No;Version;10.50.1600.1;;ServerName;TEST-SYSTEM;InstanceName;WINCCPLUSMIG2008;IsClustered;No;Version;10.50.2500.0;tcp;1451;;,1
 Product name: 1747-L551,26
 HTTP/1.1 403 Forbidden,8
 Product name: 1747-L553/C,36
 SSH-2.0-OpenSSH_6.7p1 Debian-5+deb8u3 Key,1
" Siemens, SIMATIC NET",1
 220 wago-p.co.jp ESMTP,2
 Product name: 1756-EWEB/A,8
 HTTP/1.0 501 Not,10
 PowerLink 10.6.7 Ecessa,5
 Allen-Bradley 1747-L552 SLC-5/05,2
 Product name: 1747-L552,16
 Product name: 2711-T5A20:P11055,1
 Product name: 1756-ENBT/A,172
 Allen-Bradley 1747-L553/C SLC-5/05,4
 Product name: 1769-L16ER/A,51
 HTTP/1.1 200 Ok,225
 ******************************************************************** PowerLink PL175,2
 Product name: 1769-L16ER/B,26
 Unit ID: 0,2
 ******************************************************************** PowerLink PL250,1
 Product name: 1761-NET-ENI/C,5
 <!DOCTYPE HTML PUBLIC,2
 Product name: 1794-AENT/B,1
 HTTP/1.0 404 Not,14
 Product name: 1769-L24ER-QBFC1B/A,145
 Product name: 2080-LC50-48QBB,1
 SSH-2.0-OpenSSH_6.6.1p1 Ubuntu-2ubuntu2.8 Key,1
 Product name: 1766-L32BXB,253
 Product name: 1769-L30ERMS/A,1
 Lantronix Inc. -,35
 Product name: 1769-L24ER-QB1B/A,47
 Product name: SoftLogix5800,2
"Siemens, SIMATIC, S7-300",35
 Product name: PanelView,32
 Product name: 1769-L36ERM/A,28
 Product name: 1769-L18ERM/A,2
 Product name: WAGO,49
 HTTP/1.0 302 Found,3
 SSH-2.0-OpenSSH_6.6.1p1 Ubuntu-2ubuntu2 Key,1
 MQTT Connection Code:,1
 HTTP/1.1 404 Not,6
 Product name: 1766-L32BXBA,464
 Product name: 1734-AENT,3
 Product name: 1761-NET-ENI/D,145
 WAGO 750-873 PFC,2
 WAGO 750-881 PFC,21
 Product name: PowerMonitor,1
 WAGO 750-880 PFC,21
 NetBIOS Response Servername:,3
 Product name: 1747-L552/C,41
 Product name: 1763-L16AWA,144
 Modbus/TCP to RTU,25
 220 wago-cons.co.jp ESMTP,2
 Firmware: 4608 Hostname:,7
 HTTP/1.0 404 NOT,1
ioLogik 2542-HSPA,4
 HTTP/1.1 401 Authorization,16
 Product name: PanelView-Plus,11
 Product name: 1756-EN2T/B,4
 Product name: 2080-LC50-48QWB,8
 Product name: 1747-L553,3
 Product name: 2080-LC20-20QWB,24
 i.LON System Firmware,6
 Product name: 2080-LC50-48AWB,1
 Product name: 1769-L35E,141
 Product name: 1769-L23E-QB1,19
 Allen-Bradley 1747-L551 SLC-5/05,4
 Product name: 1783-NATR,2
 Allen-Bradley 1747-L541E SLC-5/05,1
 Escape Character is,379
 Product name: 1769-L33ERM/A,12
 Location designation of,139
 Product name: 1766-L32BWA,346
 Product name: PM3000,1
 Allen-Bradley 1747-L552/C SLC-5/05,11
 Product name: 1747-L551/C,100
 Product name: 1769-L32E,274
 Product name: 1766-L32BWAA,355
 Siemens AG SIMATIC,1
