Server_Tag,Year 2017,Year 2011,
MicrosoftOfficeWeb5.0-PUB,0,3,
ABB RTU560 Connection:,6,1,
addUPI Server 1.2,16,0,
Apache,28,6,
Apache-Coyte/1.1,0,3,
Apache/1.3.31 (Unix),1655,192,
Apache/2.0.52 (CentOS),0,1,
Apache/2.0.63 (FreeBSD) mod_python/3.3.1 Python/2.5.1,1,5,
Apache/2.2.17 (FreeBSD) mod_ssl/2.2.17 OpenSSL/0.9.8q,4,8,
Apache/2.2.11 (Unix),0,4,
Apache/2.2.3 (CentOS),0,1,
Apache/2.4.7 (Ubuntu),1,0,
Bba2.0 (Linux),17,0,
Boa/0.93.15,57,14,
Cimetrics Eplus Web Server,11,6,
CIMPLICITY-HttpSvr/1.0,31,84,
Content-Security-Policy:,3,0,
EIG Embedded Web Server,122,102,
EnergyICT RTU,766,562,
HEERENCHI,1,0,
HMS AnyBus-S WebServer,40,40,
Indy/9.00.10,12,10,
ioLogik Web Server/1.0,225,36,
Jetty(9.2.z-SNAPSHOT),1,0,
lighttpd,2,0,
lighttpd/1.4.15,27,0,
lighttpd/1.4.25 (Linux),1,0,
microHttpd/2.0,3,0,
Microsoft-IIS/5.0,0,4,
Microsoft-IIS/5.1,1,100,
Microsoft-IIS/6.0,2,39,
Microsoft-IIS/7.0,0,10,
Microsoft-IIS/7.5,2,4,
Microsoft-IIS/8.5,3,0,
Mono.WebServer/1.0.0.0 Win32NT X-AspNet-Version:,2,0,
NovaTech HTTPD 1.5.0,0,1,
Niagara Web Server/1.1,885,1211,
Niagara Web Server/3.0,46,1,
Niagara Web Server/3.7.106.11,1,0,
Niagara Web Server/3.7.106.15,1,0,
Niagara Web Server/3.8.111,1,0,
Niagara Web Server/4.1.27.20,1,0,
TAC/Xenta***,0,1730,combine all server name starts with TAC/Xenta from 2011
Onyxx Web Server,1,0,
TEST-SYSTEM,1,0,
TornadoServer/4.4 Etag:,1,0,
WindRiver-WebServer/4.4,1535,63,
WindWeb/1.0,0,1,
WindWeb/1.0.2,0,11,
WindWeb/1.0.3,999,1217,
